"filename", "language", "C++", "Python", "TypeScript", "comment", "blank", "total"
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/autoHook.ts", "TypeScript", 0, 0, 17, 3, 6, 26
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/hooks/express.ts", "TypeScript", 0, 0, -34, -4, -10, -48
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/native.ts", "TypeScript", 0, 0, 12, 2, 1, 15
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/node-embedded/src/sdk.ts", "TypeScript", 0, 0, 56, 4, 14, 74
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/python-embedded/__init__.py", "Python", 0, 18, 0, -2, 3, 19
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/python-embedded/autoHook.py", "Python", 0, 25, 0, 1, 6, 32
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/python-embedded/binding.py", "Python", 0, -4, 0, -3, -6, -13
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/python-embedded/decorators.py", "Python", 0, -34, 0, -3, -6, -43
"/Users/ansonjiang/Documents/Chaotic_AI/adapters/python-embedded/demo_app.py", "Python", 0, 0, 0, 0, -1, -1
"/Users/ansonjiang/Documents/Chaotic_AI/native/agent_core/src/agent_core.cpp", "C++", 3, 0, 0, 0, 2, 5
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/container/ct_image.cpp", "C++", 15, 0, 0, 0, 4, 19
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/container/ct_image.h", "C++", 4, 0, 0, 0, 3, 7
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/container/ct_mount.cpp", "C++", 83, 0, 0, 0, 22, 105
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/container/ct_mount.h", "C++", 4, 0, 0, 0, 4, 8
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/container/ct_namespace.cpp", "C++", 66, 0, 0, 4, 35, 105
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/container/ct_namespace.h", "C++", 9, 0, 0, 0, 7, 16
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/daemon/daemon_server.cpp", "C++", 65, 0, 0, 3, 19, 87
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/daemon/daemon_server.h", "C++", 12, 0, 0, 0, 6, 18
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/daemon/instance_manager.cpp", "C++", 29, 0, 0, 1, 8, 38
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/daemon/instance_manager.h", "C++", 13, 0, 0, 0, 4, 17
"/Users/ansonjiang/Documents/Chaotic_AI/runtime/daemon/main.cpp", "C++", 17, 0, 0, 0, 6, 23
"/Users/ansonjiang/Documents/Chaotic_AI/servers/instance-manager/daemonClient.ts", "TypeScript", 0, 0, 50, 0, 20, 70
"/Users/ansonjiang/Documents/Chaotic_AI/servers/instance-manager/index.ts", "TypeScript", 0, 0, 10, 0, 7, 17
"/Users/ansonjiang/Documents/Chaotic_AI/servers/instance-manager/runs.ts", "TypeScript", 0, 0, 42, 0, 22, 64
"Total", "-", 320, 5, 153, 6, 176, 660